neutron_energy,cross_section
6800000,3.36E-05
7000000,3.34E-05
7500000,3.30E-05
8000000,3.27E-05
8500000,3.23E-05
9000000,3.20E-05
9500000,3.17E-05
10000000,3.14E-05
10500000,3.12E-05
11000000,3.09E-05
11500000,3.07E-05
12000000,3.04E-05
12500000,3.02E-05
13000000,3.00E-05
13500000,2.98E-05
14000000,2.96E-05
14500000,2.94E-05
15000000,2.91E-05
15500000,2.89E-05
16000000,2.87E-05
16500000,2.85E-05
17000000,2.83E-05
17500000,2.81E-05
18000000,2.79E-05
18500000,2.77E-05
19000000,2.75E-05
19500000,2.73E-05
20000000,2.71E-05
